sector,0
FINANCIAL SERVICES,16.56804733727811
CONSUMER GOODS,13.06706114398422
INDUSTRIAL MANUFACTURING,10.042735042735043
SERVICES,8.694937541091386
AUTOMOBILE,7.149901380670612
PHARMA,7.034845496383959
CHEMICALS,6.804733727810651
CONSTRUCTION,6.607495069033531
ENERGY,5.424063116370808
METALS,3.9119000657462197
CEMENT & CEMENT PRODUCTS,3.829717291255753
FERTILISERS & PESTICIDES,3.714661406969099
IT,2.284681130834977
TELECOM,1.725838264299803
TEXTILES,1.2984878369493753
PAPER,0.9204470742932281
MEDIA & ENTERTAINMENT,0.9204470742932281
